epoch,train_loss,val_loss,pesq,lr
1,16.88858438307239,17.861409783363342,1.096686840057373,1.55e-05
2,16.79945670404742,17.45440649986267,1.1142578125,3.1e-05
3,15.923158414902225,16.265308022499084,1.0963971614837646,4.65e-05
4,14.735580521245156,14.724588751792908,1.1043020486831665,6.2e-05
5,13.388853996030745,13.244002223014832,1.129402756690979,7.75e-05
6,12.112662715296592,11.894662857055664,1.1658878326416016,9.3e-05
7,10.763695870676349,10.995128095149994,1.2088806629180908,0.0001085
8,10.059980707783852,10.18470048904419,1.2448465824127197,0.000124
9,9.625252100729174,9.564140737056732,1.2648687362670898,0.0001395
10,8.858697798944288,8.886119842529297,1.2817469835281372,0.000155
11,8.24610661691235,8.196340918540955,1.3079532384872437,0.00017050000000000002
12,7.687889752849456,7.6743550300598145,1.3406975269317627,0.000186
13,7.14896498956988,7.077521204948425,1.3735051155090332,0.00020150000000000002
14,6.518294380557153,6.63308972120285,1.4032970666885376,0.000217
15,6.2838892013795915,6.231227219104767,1.4373953342437744,0.0002325
16,5.764371010564989,5.864035725593567,1.4703370332717896,0.000248
17,5.448781786426421,5.449142098426819,1.523913025856018,0.0002635
18,5.1363170454579015,5.1624517142772675,1.5605263710021973,0.000279
19,4.792141310630306,5.080025851726532,1.5769160985946655,0.0002945
20,4.587599911997395,4.754271060228348,1.6269285678863525,0.00031
21,4.395269901521744,4.634731471538544,1.6431193351745605,0.0003255
22,4.285901950251672,4.742936939001083,1.6511660814285278,0.00034100000000000005
23,4.1713813466410485,4.114208787679672,1.7444063425064087,0.0003565
24,4.021199037951808,4.154942631721497,1.749747633934021,0.000372
25,3.8887804131354056,4.018912225961685,1.7687193155288696,0.0003875
26,3.8726223745653705,4.034164845943451,1.7510757446289062,0.00040300000000000004
27,3.845911841238699,3.8228793144226074,1.7933220863342285,0.0004185
28,3.616775526154426,3.7672906517982483,1.7801661491394043,0.000434
29,3.621496638944072,3.7603462040424347,1.802748441696167,0.00044950000000000003
30,3.6049254421264894,3.8478608429431915,1.7540934085845947,0.000465
31,3.569892969823653,3.687117338180542,1.7868808507919312,0.00048049999999999997
32,3.441192273170717,3.564896821975708,1.825371503829956,0.000496
33,3.4512352693465447,3.516369104385376,1.8347934484481812,0.00049999886923291
34,3.455274445395316,3.4575827717781067,1.8279213905334473,0.0004999937669081361
35,3.392061589225646,3.475852757692337,1.8219633102416992,0.0004999845563060248
36,3.4118914238868223,3.4473693668842316,1.840599536895752,0.0004999712375782419
37,3.356839014637855,3.3727747201919556,1.8351548910140991,0.0004999538109440998
38,3.361687917863169,3.4674562513828278,1.8128681182861328,0.0004999322766905532
39,3.2354851749635514,3.4491450488567352,1.803868055343628,0.000499906635172195
40,3.186715045282918,3.41857773065567,1.8389803171157837,0.0004998768868112501
41,3.24862910855201,3.5334266424179077,1.7651408910751343,0.0004998430320975681
42,3.2403654917593925,3.299188017845154,1.87751305103302,0.0004998050715886166
43,3.1530863065873422,3.351373851299286,1.8971389532089233,0.0004997630059094701
