epoch,train_loss,val_loss,pesq,lr
1,16.08952228484615,15.868476152420044,"tensor(1.1432, device='cuda:0')",3.1e-05
2,15.077272338251914,14.527001023292542,"tensor(1.1561, device='cuda:0')",6.2e-05
3,13.286474704742432,12.58402132987976,"tensor(1.1729, device='cuda:0')",9.3e-05
4,11.974328325640771,11.549422025680542,"tensor(1.2248, device='cuda:0')",0.000124
5,10.793945404791064,10.34133267402649,"tensor(1.2713, device='cuda:0')",0.000155
6,9.8464333703441,9.688297510147095,"tensor(1.2998, device='cuda:0')",0.000186
7,8.88547545863736,8.923206567764282,"tensor(1.3281, device='cuda:0')",0.000217
8,8.311957220877371,8.186237335205078,"tensor(1.3528, device='cuda:0')",0.000248
9,7.708981452449676,7.503052055835724,"tensor(1.3958, device='cuda:0')",0.000279
10,7.085152195345971,7.162233352661133,"tensor(1.4001, device='cuda:0')",0.00031
11,6.611756766996076,6.595642626285553,"tensor(1.4482, device='cuda:0')",0.00034100000000000005
12,6.098526247086063,6.093145072460175,"tensor(1.5023, device='cuda:0')",0.000372
13,5.683409767766153,5.81000417470932,"tensor(1.5195, device='cuda:0')",0.00040300000000000004
14,5.045539532938311,5.159947037696838,"tensor(1.6104, device='cuda:0')",0.000434
15,4.624812629915053,4.617131233215332,"tensor(1.6623, device='cuda:0')",0.000465
16,4.139829381819694,4.493205726146698,"tensor(1.6537, device='cuda:0')",0.000496
17,4.050997364905573,4.180698901414871,"tensor(1.7201, device='cuda:0')",0.000527
18,3.848805235278222,4.417629092931747,"tensor(1.6481, device='cuda:0')",0.000558
19,3.737229324156238,3.975524216890335,"tensor(1.7363, device='cuda:0')",0.000589
20,3.6250067564748947,3.8342328667640686,"tensor(1.7638, device='cuda:0')",0.00062
21,3.5322601679832704,3.7999267876148224,"tensor(1.7602, device='cuda:0')",0.000651
22,3.4893133832562353,3.683790147304535,"tensor(1.7954, device='cuda:0')",0.0006820000000000001
23,3.4105885451839817,3.7200320959091187,"tensor(1.7866, device='cuda:0')",0.000713
24,3.3484224215630563,3.6022609770298004,"tensor(1.8377, device='cuda:0')",0.000744
25,3.271412311061736,3.7596505284309387,"tensor(1.7297, device='cuda:0')",0.000775
26,3.335766319305666,3.4836998879909515,"tensor(1.8194, device='cuda:0')",0.0008060000000000001
27,3.2802166208144157,3.4891580045223236,"tensor(1.7750, device='cuda:0')",0.000837
28,3.14145262587455,3.382500648498535,"tensor(1.8445, device='cuda:0')",0.000868
29,3.1291824656148113,3.548280209302902,"tensor(1.7789, device='cuda:0')",0.0008990000000000001
30,3.2051103653446322,3.292318195104599,"tensor(1.8451, device='cuda:0')",0.00093
31,3.1205397171358906,3.4016535580158234,"tensor(1.8891, device='cuda:0')",0.0009609999999999999
32,3.085329055786133,3.2370022535324097,"tensor(1.8435, device='cuda:0')",0.000992
33,3.061735322398524,3.263524502515793,"tensor(1.8363, device='cuda:0')",0.0009999977361997536
34,3.024560599557815,3.179497480392456,"tensor(1.9086, device='cuda:0')",0.000999987521325106
35,3.01498334446261,3.201247990131378,"tensor(1.8778, device='cuda:0')",0.000999969081662763
36,3.0219701740049545,3.2487703263759613,"tensor(1.8846, device='cuda:0')",0.00099994241751636
37,2.9636467041507846,3.2147816121578217,"tensor(1.8892, device='cuda:0')",0.0009999075293249612
38,3.1362671736747987,3.2650919258594513,"tensor(1.9292, device='cuda:0')",0.0009998644176630515
39,2.936237285214086,3.414331555366516,"tensor(1.9643, device='cuda:0')",0.0009998130832405267
40,2.837022731381078,3.2671500742435455,"tensor(1.8995, device='cuda:0')",0.0009997535269026829
41,2.8713849052306144,3.0877236276865005,"tensor(1.9754, device='cuda:0')",0.0009996857496302016
42,2.8529423436810895,3.102979749441147,"tensor(1.8916, device='cuda:0')",0.0009996097525391341
43,2.815356525682634,3.0369866490364075,"tensor(2.0032, device='cuda:0')",0.000999525536880883
44,2.807000481313275,3.245246648788452,"tensor(1.8554, device='cuda:0')",0.0009994331040421814
45,2.833352317733149,3.0235576778650284,"tensor(1.9626, device='cuda:0')",0.0009993324555450701
46,2.760107534547006,2.964637041091919,"tensor(1.9673, device='cuda:0')",0.0009992235930468734
47,2.7770778594478482,2.9862605035305023,"tensor(2.0386, device='cuda:0')",0.0009991065183401697
48,2.747874592581103,2.936850607395172,"tensor(2.0532, device='cuda:0')",0.0009989812333527645
49,2.6780724390860526,3.0224272906780243,"tensor(2.0495, device='cuda:0')",0.0009988477401476573
50,2.6517654426636232,2.9877252727746964,"tensor(2.0076, device='cuda:0')",0.0009987060409230072
51,2.728114874132218,2.924694076180458,"tensor(2.0699, device='cuda:0')",0.0009985561380120985
52,2.688074069638406,3.018904820084572,"tensor(2.0401, device='cuda:0')",0.0009983980338832998
53,2.6804536946358217,2.7694334983825684,"tensor(2.0849, device='cuda:0')",0.0009982317311400253
54,2.670073974517084,2.9000333696603775,"tensor(2.1131, device='cuda:0')",0.0009980572325206916
55,2.814360914691802,2.9285919666290283,"tensor(2.0269, device='cuda:0')",0.000997874540898672
56,2.591389675294199,2.985128492116928,"tensor(2.0467, device='cuda:0')",0.000997683659282249
57,2.6701942797630065,2.868433177471161,"tensor(2.0932, device='cuda:0')",0.0009974845908145662
58,2.6665974586240706,2.9085810780525208,"tensor(2.0603, device='cuda:0')",0.0009972773387735751
59,2.6291002381232476,2.7359328866004944,"tensor(2.0990, device='cuda:0')",0.0009970619065719814
60,2.618358071773283,2.9312611371278763,"tensor(2.0288, device='cuda:0')",0.0009968382977571892
61,2.610887921625568,2.7382661551237106,"tensor(2.1334, device='cuda:0')",0.000996606516011243
62,2.518426683641249,2.7702656686306,"tensor(2.1200, device='cuda:0')",0.0009963665651507654
63,2.582969480945218,2.7466437071561813,"tensor(2.1788, device='cuda:0')",0.000996118449126896
64,2.536666750907898,2.799182206392288,"tensor(2.0664, device='cuda:0')",0.0009958621720252262
65,2.4979787353546388,2.7713184654712677,"tensor(2.1647, device='cuda:0')",0.00099559773806573
66,2.480831636536506,2.6785109490156174,"tensor(2.1741, device='cuda:0')",0.0009953251516026974
67,2.5665386819070384,2.9467097222805023,"tensor(2.0765, device='cuda:0')",0.0009950444171246602
68,2.5583402975913017,2.760718360543251,"tensor(2.1536, device='cuda:0')",0.0009947555392543193
69,2.590946783942561,2.8100076615810394,"tensor(2.0807, device='cuda:0')",0.0009944585227484688
70,2.496945350400863,2.6516057401895523,"tensor(2.1612, device='cuda:0')",0.0009941533724979166
71,2.5395019592777377,2.651322215795517,"tensor(2.1627, device='cuda:0')",0.0009938400935274054
72,2.5885740633933776,2.6912897676229477,"tensor(2.1789, device='cuda:0')",0.0009935186909955282
73,2.408541617854949,2.9128725677728653,"tensor(2.0333, device='cuda:0')",0.0009931891701946448
74,2.3629521419925075,2.8694389015436172,"tensor(2.0795, device='cuda:0')",0.000992851536550794
75,2.5291836857795715,2.6598918586969376,"tensor(2.1909, device='cuda:0')",0.000992505795623604
76,2.44530189037323,2.7336254715919495,"tensor(2.1498, device='cuda:0')",0.0009921519531062015
77,2.4288160339478524,2.6106868386268616,"tensor(2.2145, device='cuda:0')",0.0009917900148251177
78,2.454841992547435,2.5654324889183044,"tensor(2.2156, device='cuda:0')",0.0009914199867401923
79,2.4230313531814085,2.665485367178917,"tensor(2.1969, device='cuda:0')",0.0009910418749444752
80,2.3787977926192747,2.5205154418945312,"tensor(2.2328, device='cuda:0')",0.0009906556856641264
81,2.388528883457184,2.7143610268831253,"tensor(2.1628, device='cuda:0')",0.0009902614252583137
82,2.394574071130445,2.5672018080949783,"tensor(2.2245, device='cuda:0')",0.0009898591002191072
83,2.3755945640225566,2.6799047589302063,"tensor(2.2004, device='cuda:0')",0.000989448717171373
84,2.430244572700993,2.588784798979759,"tensor(2.2110, device='cuda:0')",0.0009890302828726646
85,2.3975870493919618,2.609077900648117,"tensor(2.2225, device='cuda:0')",0.0009886038042131106
86,2.448408959373351,2.5707253962755203,"tensor(2.1901, device='cuda:0')",0.0009881692882153013
87,2.425188268384626,2.5701896250247955,"tensor(2.2657, device='cuda:0')",0.0009877267420341743
88,2.3989265984104526,2.6218795627355576,"tensor(2.1959, device='cuda:0')",0.0009872761729568954
89,2.372484924331788,2.7180939316749573,"tensor(2.1126, device='cuda:0')",0.0009868175884027385
90,2.3746605207843166,2.551493689417839,"tensor(2.2533, device='cuda:0')",0.0009863509959229654
91,2.384878962270675,2.618905618786812,"tensor(2.1635, device='cuda:0')",0.0009858764032006984
92,2.355375289916992,2.5004794895648956,"tensor(2.2533, device='cuda:0')",0.0009853938180507964
93,2.358364407093294,2.700126051902771,"tensor(2.2001, device='cuda:0')",0.0009849032484197252
94,2.43175136081634,2.6852086037397385,"tensor(2.2459, device='cuda:0')",0.0009844047023854262
95,2.325684997343248,2.528095096349716,"tensor(2.2613, device='cuda:0')",0.0009838981881571843
96,2.427647231086608,2.516498416662216,"tensor(2.2544, device='cuda:0')",0.0009833837140754917
97,2.3222811375894854,2.524482011795044,"tensor(2.2719, device='cuda:0')",0.0009828612886119124
98,2.4288502027911525,2.6354995369911194,"tensor(2.2181, device='cuda:0')",0.0009823309203689401
99,2.335531065540929,2.5425417870283127,"tensor(2.2231, device='cuda:0')",0.0009817926180798586
100,2.28908932785834,2.6036830842494965,"tensor(2.2051, device='cuda:0')",0.0009812463906085968
101,2.3500042865353246,2.5682743936777115,"tensor(2.2672, device='cuda:0')",0.000980692246949584
102,2.317462090523012,2.517545908689499,"tensor(2.2615, device='cuda:0')",0.0009801301962276006
103,2.305990674803334,2.583988755941391,"tensor(2.2428, device='cuda:0')",0.000979560247697628
104,2.333669729771153,2.528776615858078,"tensor(2.2167, device='cuda:0')",0.000978982410744697
105,2.3936604049897965,2.585253968834877,"tensor(2.2121, device='cuda:0')",0.0009783966948837322
106,2.2078975169889388,2.518809124827385,"tensor(2.3015, device='cuda:0')",0.0009778031097593966
107,2.2202302275165433,2.552020862698555,"tensor(2.2354, device='cuda:0')",0.0009772016651459316
108,2.3615700333349166,2.678114593029022,"tensor(2.1351, device='cuda:0')",0.000976592370946996
109,2.3568604088598684,2.49903804063797,"tensor(2.2678, device='cuda:0')",0.0009759752371955048
110,2.3477966497021336,2.605648949742317,"tensor(2.1878, device='cuda:0')",0.0009753502740534611
111,2.2826513859533493,2.533419042825699,"tensor(2.2165, device='cuda:0')",0.0009747174918117913
112,2.3230050513821263,2.4445750564336777,"tensor(2.2922, device='cuda:0')",0.000974076900890174
113,2.260294031712317,2.6748677641153336,"tensor(2.2280, device='cuda:0')",0.00097342851183687
114,2.308378433027575,2.4646871089935303,"tensor(2.3014, device='cuda:0')",0.0009727723353285464
115,2.2623177959072973,2.5077150464057922,"tensor(2.2528, device='cuda:0')",0.000972108382170103
